414,181
416,190
417,202
435,217
452,189
448,175
468,160
467,156
472,154
481,157
484,163
488,189
488,193
481,205
548,256
546,255
483,218
470,218
445,168
419,173
413,161
418,149
383,147
635,221
554,220
542,222
451,156
548,214
548,235
552,209
508,275
589,183
607,163
608,184
581,189
378,306
376,328
373,325
347,277
374,272
364,272
348,272
379,233
378,266
380,201
388,157
382,160
380,185
399,157
394,159
377,282
376,283
614,203
616,219
545,205
576,199
432,201
549,194
590,174
623,159
435,199
705,175
582,204
547,194
645,176
581,203
732,177
586,209
589,172
542,187
676,177
594,163
611,215
617,154
632,175
616,215
534,221
403,214
413,216
382,213
403,213
577,242
580,174
593,158
615,241
756,171
638,185
642,190
508,277
510,274
586,210
609,198
510,275
577,194
458,208
629,233
625,224
594,226
384,158
415,181
567,206
